Tuff,Index,Ba,Mn,Nb,Rb,Sr,Ti,Y,Zn,Zr,Fe2O3,CaO
Silbo,1,1,1238,138,113,10,1139,105,208,1169,3.57,0.16
Silbo,2,3,1131,128,103,1,1042,95,190,1063,3.3,0.14
Silbo,3,1,1220,129,111,1,1226,97,204,1093,3.57,0.17
Silbo,4,1,1211,124,111,4,1170,99,204,1073,3.51,0.15
Silbo,5,1,1236,126,103,1,1194,98,203,1084,3.53,0.14
Silbo,6,1,1059,112,96,1,1052,84,191,965,3.15,0.12
Silbo,7,1,1184,126,107,1,1125,102,200,1109,3.49,0.29
Silbo,8,18,1219,131,107,7,1264,99,200,1101,3.52,0.2
Silbo,9,5,1231,134,105,2,1281,99,203,1109,3.66,0.17
Silbo,10,18,1192,131,117,18,1132,101,214,1134,3.59,0.19
Silbo,11,14,1163,128,111,20,1120,101,208,1112,3.49,0.83
Silbo,12,4,1236,123,100,3,1188,96,196,1068,3.59,0.17
Silbo,13,1,1194,122,99,1,1073,92,186,1037,3.53,0.14
Silbo,14,10,1257,132,108,1,1132,99,195,1120,3.51,0.13
Silbo,15,6,1250,125,108,4,1201,99,201,1094,3.66,0.16
Silbo,16,143,1338,123,104,2,1243,96,188,1053,3.58,0.18
Silbo,17,26,1249,124,101,1,613,94,198,1058,3.53,0.15
Silbo,18,1,1247,142,118,3,1008.531337,97,187,1180,3.38,0.12
Silbo,19,0.753,1231,143,114,7,1113.667991,97,197,1185,3.37,0.17
Silbo,20,8.480109213,1241,139,111,1,1023.312289,95,217,1165,3.35,0.1
Silbo,21,1,1198,120,97,1,1145,91,187,1043,3.35,0.1
Silbo,22,1,1321,125,101,1,1299,97,188,1077,3.67,0.15
Silbo,23,4,1189,146,123,1,964,99,185,1227,3.42,0.12
Silbo,24,3,1175,144,129,3,946,97,176,1199,3.38,0.11
Silbo,25,1,1296,169,138,1,880,112,216,1433,3.66,0.11
Silbo,26,1,1372,124,103,1,1289,98,196,1079,3.68,0.16
KBS,27,26,825,189,172,1,1075,125,231,1206,3.01,0.17
KBS,28,14,838,188,161,1,1085,131,227,1226,3.08,0.15
KBS,29,11,815,189,170,1,1176,132,230,1252,2.95,0.13
KBS,30,16,816,179,164,1,1124,122,221,1198,2.88,0.17
KBS,31,12,841,186,164,1,1154,128,227,1199,2.93,0.17
KBS,32,9,820,186,168,11,1175,131,225,1219,2.94,0.21
KBS,33,22,934,190,165,6,1363,134,228,1419,3.16,0.19
KBS,34,28,825,190,175,4,1163,129,223,1280,3.01,0.4
KBS,35,89,825,191,174,7,1205,131,230,1319,3,0.17
KBS,36,21,859,199,162,6,1174,130,257,1240,3.08,0.18
KBS,37,31,919,199,173,5,1258,133,244,1288,3.19,0.17
KBS,38,10,858,199,167,3,1172,129,240,1249,3.07,0.17
KBS,39,21,841,201,172,3,1162,133,246,1259,3.07,0.17
KBS,40,24,877,198,167,4,1229,130,254,1261,3.16,0.2
KBS,41,30,890,200,178,2,1186,134,251,1291,3.15,0.18
KBS,42,30,843,194,165,7,1297,129,253,1239,3.09,0.23
KBS,43,26,881,201,164,3,1197,130,243,1284,3.16,0.2
KBS,44,19,821,184,167,6,1152,130,220,1234,2.95,0.21
KBS,45,11,832,191,175,4,1172,135,226,1276,2.96,0.17
KBS,46,7,887,204,175,1,1215,137,253,1276,3.12,0.18
KBS,47,7,861,193,163,1,1198,128,293,1229,3.09,0.19
KBS,48,17,881,200,169,1,1190,131,253,1276,3.15,0.21
KBS,49,13,863,196,171,1,1244,129,229,1244,3.11,0.25
KBS,50,30,891,196,161,5,1564,127,228,1314,3.25,0.38
KBS,51,13,867,201,175,6,1233,133,233,1266,3.08,0.22
KBS,52,14,874,200,166,2,1217,131,241,1276,3.1,0.18
KBS,53,7,801,182,128,1,1090,121,222,1163,2.81,0.16
KBS,54,10,862,198,173,1,1215,133,241,1265,3,0.17
KBS,55,77,756,182,157,3,2803,120,236,1139,3.06,0.64
KBS,56,51,795,184,161,33,1498,121,234,1178,2.94,0.34
KBS,57,1,898,171,170,3,1204,122,252,1164,3,0.2
KBS,58,1,952,195,162,1,1508,127,231,1314,2.88,0.29
KBS,59,27,869,196,172,4,1178,129,227,1233,3.05,0.18
KBS,60,12,888,193,151,3,1186,129,234,1241,3.22,0.19
KBS,61,18,937,188,155,1,1171,121,237,1225,3.19,0.2
KBS,62,18,908,192,161,1,1137,129,257,1241,3.18,0.18
KBS,63,12,882,193,163,1,1130,126,235,1220,3.1,0.18
KBS,64,14,851,191,166,4,1149,124,230,1207,3.06,0.19
KBS,65,23,867,189,165,1,1196,126,244,1210,2.96,0.18
KBS,66,22,858,190,163,3,1159,125,221,1194,3.03,0.19
KBS,67,12,790,191,162,4,1746,128,246,1221,2.97,0.18
KBS,68,12,856,181,172,3,1228,126,254,1192,3.01,0.19
KBS,69,17,936,198,184,3,1298,132,229,1298,3.14,0.22
KBS,70,17,910,192,168,1,1193,125,235,1225,3.13,0.18
KBS,71,17,908,194,109,1,1180,128,231,1226,3.11,0.18
KBS,72,43,833,186,166,4,1152,125,232,1207,2.9,0.18
KBS,73,39,830,188,160,5,1367,124,223,1174,2.89,0.18
KBS,74,29,865,188,162,3,1411,125,221,1193,2.93,0.19
KBS,75,33,853,188,173,7,1480,129,225,1225,2.97,0.23
KBS,76,5,928,195,163,3,1725,125,224,1239,3.4,0.34
KBS,77,25,869,185,163,1,1350,126,235,1195,2.98,0.17
KBS,78,9,926,201,167,2,1683,128,231,1290,3.18,0.17
KBS,79,34,882,201,167,27,1496,134,229,1264,3.18,0.33
KBS,80,22,897,194,167,3,1192,129,231,1221,3.12,0.19
KBS,81,19,932,192,166,1,1137,129,228,1212,3.16,0.19
KBS,82,7,929,198,173,1,1163,133,240,1264,3.16,0.19
KBS,83,2,914,194,172,4,1190,129,231,1235,3.11,0.19
KBS,84,15,857,189,159,14,1284,122,221,1223,3.1,0.31
KBS,85,40,944,190,163,3,1171,123,243,1195,3.09,0.19
KBS,86,1,846,196,168,1,1202,132,243,1259,3.01,0.14
KBS,87,14,820,189,167,10,1127,128,286,1209,2.96,0.16
KBS,88,27,832,201,163,11,1467,131,236,1306,3.22,0.22
Hasuma,89,86,2398,190,67,35,4036,123,216,1287,5.79,0.47
Hasuma,90,60,2403,184,54,65,3683,118,259,1241,5.93,0.45
Hasuma,91,21,2914,196,39,3,3654,128,319,1338,6.35,0.14
Hasuma,92,76,2647,197,54,5,3584,125,279,1317,6.17,0.26
Hasuma,93,1,2952,192,33,3,3632,123,320,1305,6.54,0.13
Hasuma,94,64,2036,203,49,101,3690,130,253,1390,5.67,0.55
b-Tulu Bor,95,199,400,81,124,14,1232,65,60,388,1.79,0.39
b-Tulu Bor,96,134,391,83,131,13,851,62,85,354,1.62,0.27
b-Tulu Bor,97,114,372,85,132,6,874,64,73,367,1.62,0.29
b-Tulu Bor,98,152,364,82,119,16,940,61,74,349,1.55,0.4
b-Tulu Bor,99,134,392,85,115,5,962,63,73,386,1.56,0.31
b-Tulu Bor,100,130,362,84,114,7,1045,62,79,379,1.52,0.33
